scaffold,mean_shap,effect,n_total,n_active,n_inactive,active_ratio
O=C(CCCCCN1C=C(C(=O)OCc2ccccc2)C(c2ccccc2)NC1=O)NCc1ccccc1,0.001972056,positive,5,5,0,1
c1ccc(-c2cncnc2NCc2ccco2)cc1,0.001968616,positive,9,9,0,1
c1csc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1,0.001958894,positive,1,1,0,1
c1ccc2c(-n3ccnc3)nc(-c3ccoc3)nc2c1,0.001958799,positive,1,1,0,1
c1cnc(CNc2ncncc2-c2ccc3c(c2)OCO3)cn1,0.001948442,positive,1,1,0,1
c1cncc(-c2ccc3ncnc(NCCN4CCOCC4)c3c2)c1,0.001947078,positive,1,1,0,1
c1ccc(-c2cncnc2NCc2cnccn2)cc1,0.001940141,positive,7,7,0,1
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)Nc1ccc2ccccc2c1,0.001937325,positive,1,1,0,1
c1csc(CNc2ncncc2-c2ccoc2)c1,0.001936348,positive,1,1,0,1
c1coc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)c1,0.001936076,positive,1,1,0,1
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1nc2ccccc2s1,0.001935128,positive,2,2,0,1
O=C(NCc1ccc2c(c1)OCO2)C1CCC(CNS(=O)(=O)c2ccccc2)CC1,0.001931406,positive,1,1,0,1
O=C(CCCC(=O)N(c1ccc2c(c1)OCCO2)C(C(=O)NC1CCCCC1)c1ccccc1)Nc1ccccn1,0.001931155,positive,1,1,0,1
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccco1,0.001930232,positive,1,1,0,1
O=C(NCc1ccccc1)C1C=CC2(CCCCC2)N1C(=O)c1ccccc1,0.001929413,positive,1,1,0,1
C1=CC(Oc2ccccc2)COC1CCON=C1CC(c2ccccc2)Oc2ccccc21,0.001928997,positive,1,1,0,1
c1ccc2c(CCNc3ccnc(-c4ccoc4)n3)c[nH]c2c1,0.001927377,positive,1,1,0,1
O=C(CCC=NOCCN1CCCCc2ncccc21)OCC1OC(C#Cc2ccccc2)C=CC1Oc1ccccc1,0.001926558,positive,1,1,0,1
c1ccc(-c2ccc3ncnc(NCc4cccs4)c3c2)cc1,0.001926422,positive,6,6,0,1
O=C(CN1c2cccc3cccc(c23)S1(=O)=O)NCc1ccc2c(c1)OCO2,0.001917391,positive,1,1,0,1
O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccc2[nH]c3ccccc3c2c1,0.001917291,positive,1,1,0,1
C=C1C(C2C=CC(=O)CC2)CCC2C(c3ccoc3)OC(=O)C3OC132,0.001916599,positive,1,1,0,1
O=C(c1ccncc1)N1CCCC2(CCN(c3ccccc3)C2)C1,0.001916413,positive,1,1,0,1
O=C(c1ccccc1)N1CCCC2(CCN(c3cccc(-c4ccccc4)c3)C2)C1,0.001916104,positive,1,1,0,1
c1cncc(CNc2ncncc2-c2ccc3c(c2)OCO3)c1,0.001916064,positive,1,1,0,1
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccco1,0.001916064,positive,1,1,0,1
O=C(CN1CCCN(S(=O)(=O)c2ccccc2)CC1)Nc1ccc2c(c1)OCO2,0.001914947,positive,1,1,0,1
c1csc(CNc2nc(-c3ccoc3)nc3ccccc23)c1,0.001912864,positive,1,1,0,1
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccon1,0.001912138,positive,1,1,0,1
c1ccc(-c2nc(NCc3cccs3)c3ccccc3n2)cc1,0.001910182,positive,6,6,0,1
O=C(c1csnn1)N1CCCC2(CCN(Cc3ccncc3)C2)C1,0.001909878,positive,1,1,0,1
c1nc(NCCN2CCOCC2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1,0.001909036,positive,1,1,0,1
O=c1[nH]c2cc3c(cc2cc1CN(Cc1nnn[nH]1)Cc1ccco1)OCO3,0.001905248,positive,1,1,0,1
c1ccc(-c2cncnc2NCCN2CCOCC2)cc1,0.001901688,positive,6,6,0,1
O=C1C(Oc2ccccc2)C(c2cccs2)N1Cc1ccc2c(c1)OCO2,0.001897496,positive,1,1,0,1
